Source,Target,Weight
Arva,Barranco del Picacho,503
Arva,Álamo Alto,503
Arva,El Tesoro,503
Arva,La Ramblilla,503
Arva,La Reina,503
Arva,La Botica,503
Arva,Doña Mencía,503
Arva,Huerta de Belén,503
Arva,Dehesa de Arriba,503
Arva,Madueño,503
Arva,Cerro de los Pesebres,503
Arva,El Tejarillo,503
Arva,El Mohino,503
Arva,Madre Vieja II,503
Arva,Dehesilla,503
Arva,Cerro de los Vuelos,503
Arva,La Graja,503
Arva,La Catria Alta,503
Arva,Azanaque-Castillejo,503
Arva,Tarancón,503
Arva,Alcotrista,503
Arva,Cortijo de San José (Norte),503
Arva,Malpica Sur,503
Arva,Casablanca Oeste,503
Arva,Adelfa,503
Arva,El Marchante,503
Arva,La María,503
Arva,Villacisneros,503
Arva,Peñaflor,503
Arva,Los Guerras,503
Arva,La Corregidora,503
Arva,Mejía,503
Arva,La Estrella,503
Arva,Casa del Encinarejo Bajo,503
Arva,Berro II,503
Arva,Los Mochales,503
Arva,La Catria,503
Arva,huerta del río,503
Arva,La Rambla y El Acebuchal,503
Arva,Cortijo Nuevo,503
Arva,Manuel Nieto,503
Arva,El Judío,503
Arva,Alcala del Río,503
Arva,Villar de Brenes,503
Arva,Villaseca,503
Arva,El Temple,503
Arva,Casa de Mingaobez (Este),503
Arva,Itálica,503
Arva,El Rodriguillo,503
Arva,Haza del Olivo,503
Arva,La Coscoja,503
Arva,Las Sesenta,503
Arva,Casa de Mingaobez,503
Arva,Tostoneras,503
Arva,Isla del Castillo,503
Arva,La Estacada,503
Arva,Cruz Verde,503
Arva,El Portillo,503
Arva,Las Monjas,503
Arva,Tierras del Judío,503
Arva,Sevilla,503
Arva,Isla de la Jurada,503
Arva,Villar Tesoro,503
Arva,Cerro de Arriza,503
Arva,Guadiato,503
Arva,Los Villares,503
Arva,Castillo de Azanaque,503
Arva,Alcolea del Río,503
Arva,Malpica,503
Arva,Guadajoz,503
Arva,Azanaque-Catsillejo,503
Arva,Cortijo del Romero,503
Arva,Las Valbuenas,503
Arva,Las Ánimas,503
Arva,El Sotillo,503
Arva,La Umbría de Moratalla,503
Arva,Juan Barba,503
Arva,La Mallena,503
Lora la Vieja,Guadiato,503
Lora la Vieja,Barranco del Picacho,503
Lora la Vieja,Álamo Alto,503
Lora la Vieja,El Tesoro,503
Lora la Vieja,La Ramblilla,503
Lora la Vieja,La Reina,503
Lora la Vieja,La Botica,503
Lora la Vieja,Doña Mencía,503
Lora la Vieja,Huerta de Belén,503
Lora la Vieja,Dehesa de Arriba,503
Lora la Vieja,Madueño,503
Lora la Vieja,Cerro de los Pesebres,503
Lora la Vieja,El Tejarillo,503
Lora la Vieja,El Mohino,503
Lora la Vieja,Madre Vieja II,503
Lora la Vieja,Dehesilla,503
Lora la Vieja,Cerro de los Vuelos,503
Lora la Vieja,La Graja,503
Lora la Vieja,La Catria Alta,503
Lora la Vieja,Azanaque-Castillejo,503
Lora la Vieja,Tarancón,503
Lora la Vieja,Alcotrista,503
Lora la Vieja,Cortijo de San José (Norte),503
Lora la Vieja,Malpica Sur,503
Lora la Vieja,Casablanca Oeste,503
Lora la Vieja,Adelfa,503
Lora la Vieja,El Marchante,503
Lora la Vieja,La María,503
Lora la Vieja,Villacisneros,503
Lora la Vieja,Peñaflor,503
Lora la Vieja,Los Guerras,503
Lora la Vieja,La Corregidora,503
Lora la Vieja,Mejía,503
Lora la Vieja,La Estrella,503
Lora la Vieja,Casa del Encinarejo Bajo,503
Lora la Vieja,Berro II,503
Lora la Vieja,Los Mochales,503
Lora la Vieja,La Catria,503
Lora la Vieja,huerta del río,503
Lora la Vieja,La Rambla y El Acebuchal,503
Lora la Vieja,Cortijo Nuevo,503
Lora la Vieja,Manuel Nieto,503
Lora la Vieja,El Judío,503
Lora la Vieja,Alcala del Río,503
Lora la Vieja,Villar de Brenes,503
Lora la Vieja,Villaseca,503
Lora la Vieja,El Temple,503
Lora la Vieja,Casa de Mingaobez (Este),503
Lora la Vieja,Itálica,503
Lora la Vieja,El Rodriguillo,503
Lora la Vieja,Haza del Olivo,503
Lora la Vieja,La Coscoja,503
Lora la Vieja,Las Sesenta,503
Lora la Vieja,Casa de Mingaobez,503
Lora la Vieja,Tostoneras,503
Lora la Vieja,Isla del Castillo,503
Lora la Vieja,La Estacada,503
Lora la Vieja,Cruz Verde,503
Lora la Vieja,El Portillo,503
Lora la Vieja,Las Monjas,503
Lora la Vieja,Tierras del Judío,503
Lora la Vieja,Sevilla,503
Lora la Vieja,Isla de la Jurada,503
Lora la Vieja,Villar Tesoro,503
Lora la Vieja,Cerro de Arriza,503
Lora la Vieja,Los Villares,503
Lora la Vieja,Castillo de Azanaque,503
Lora la Vieja,Alcolea del Río,503
Lora la Vieja,Malpica,503
Lora la Vieja,Guadajoz,503
Lora la Vieja,Azanaque-Catsillejo,503
Lora la Vieja,Cortijo del Romero,503
Lora la Vieja,Las Valbuenas,503
Lora la Vieja,Las Ánimas,503
Lora la Vieja,El Sotillo,503
Lora la Vieja,La Umbría de Moratalla,503
Lora la Vieja,Juan Barba,503
Lora la Vieja,La Mallena,503
Barranco del Picacho,Álamo Alto,503
Barranco del Picacho,El Tesoro,503
Barranco del Picacho,La Ramblilla,503
Barranco del Picacho,La Reina,503
Barranco del Picacho,La Botica,503
Barranco del Picacho,Doña Mencía,503
Barranco del Picacho,Huerta de Belén,503
Barranco del Picacho,Dehesa de Arriba,503
Barranco del Picacho,Madueño,503
Barranco del Picacho,Cerro de los Pesebres,503
Barranco del Picacho,El Tejarillo,503
Barranco del Picacho,El Mohino,503
Barranco del Picacho,Madre Vieja II,503
Barranco del Picacho,Dehesilla,503
Barranco del Picacho,Cerro de los Vuelos,503
Barranco del Picacho,La Graja,503
Barranco del Picacho,La Catria Alta,503
Barranco del Picacho,Azanaque-Castillejo,503
Barranco del Picacho,Tarancón,503
Barranco del Picacho,Alcotrista,503
Barranco del Picacho,Cortijo de San José (Norte),503
Barranco del Picacho,Malpica Sur,503
Barranco del Picacho,Casablanca Oeste,503
Barranco del Picacho,Adelfa,503
Barranco del Picacho,El Marchante,503
Barranco del Picacho,La María,503
Barranco del Picacho,Villacisneros,503
Barranco del Picacho,Peñaflor,503
Barranco del Picacho,Los Guerras,503
Barranco del Picacho,La Corregidora,503
Barranco del Picacho,Mejía,503
Barranco del Picacho,La Estrella,503
Barranco del Picacho,Casa del Encinarejo Bajo,503
Barranco del Picacho,Berro II,503
Barranco del Picacho,Los Mochales,503
Barranco del Picacho,La Catria,503
Barranco del Picacho,huerta del río,503
Barranco del Picacho,La Rambla y El Acebuchal,503
Barranco del Picacho,Cortijo Nuevo,503
Barranco del Picacho,Manuel Nieto,503
Barranco del Picacho,El Judío,503
Barranco del Picacho,Alcala del Río,503
Barranco del Picacho,Villar de Brenes,503
Barranco del Picacho,Villaseca,503
Barranco del Picacho,El Temple,503
Barranco del Picacho,Casa de Mingaobez (Este),503
Barranco del Picacho,Itálica,503
Barranco del Picacho,El Rodriguillo,503
Barranco del Picacho,Haza del Olivo,503
Barranco del Picacho,La Coscoja,503
Barranco del Picacho,Las Sesenta,503
Barranco del Picacho,Casa de Mingaobez,503
Barranco del Picacho,Tostoneras,503
Barranco del Picacho,Isla del Castillo,503
Barranco del Picacho,La Estacada,503
Barranco del Picacho,Cruz Verde,503
Barranco del Picacho,El Portillo,503
Barranco del Picacho,Las Monjas,503
Barranco del Picacho,Tierras del Judío,503
Barranco del Picacho,Sevilla,503
Barranco del Picacho,Isla de la Jurada,503
Barranco del Picacho,Villar Tesoro,503
Barranco del Picacho,Cerro de Arriza,503
Barranco del Picacho,Guadiato,503
Barranco del Picacho,Los Villares,503
Barranco del Picacho,Castillo de Azanaque,503
Barranco del Picacho,Alcolea del Río,503
Barranco del Picacho,Malpica,503
Barranco del Picacho,Guadajoz,503
Barranco del Picacho,Azanaque-Catsillejo,503
Barranco del Picacho,Cortijo del Romero,503
Barranco del Picacho,Las Valbuenas,503
Barranco del Picacho,Las Ánimas,503
Barranco del Picacho,El Sotillo,503
Barranco del Picacho,La Umbría de Moratalla,503
Barranco del Picacho,Juan Barba,503
Barranco del Picacho,La Mallena,503
Álamo Alto,El Tesoro,503
Álamo Alto,La Ramblilla,503
Álamo Alto,La Reina,503
Álamo Alto,La Botica,503
Álamo Alto,Doña Mencía,503
Álamo Alto,Huerta de Belén,503
Álamo Alto,Dehesa de Arriba,503
Álamo Alto,Madueño,503
Álamo Alto,Cerro de los Pesebres,503
Álamo Alto,El Tejarillo,503
Álamo Alto,El Mohino,503
