"","fp","pp","w"
"1384","Rouen","Barranco del Picacho","1"
"1385","Rouen","Sevilla","1"
"1386","Rouen","Itálica","2"
"1387","Rouen","Dehesilla","1"
"1388","Rouen","La Estrella","1"
"1389","Rouen","Huerta de Belén","1"
"1390","Rouen","Malpica Sur","1"
"1391","Rouen","El Judío","1"
"1392","Rouen","La Rambla y El Acebuchal","1"
"1393","Bonn","La Catria","2"
"1394","Bonn","Arva","5"
"1395","Bonn","Alcolea del Río","3"
"1396","Bonn","El Tejarillo","3"
"1397","Bonn","Las Delicias","4"
"1398","Bonn","Tostoneras","2"
"1399","Bonn","Cerro de los Pesebres","1"
"1400","Bonn","Malpica","2"
"1401","Bonn","Azanaque-Castillejo","2"
"1402","Bonn","huerta del río","1"
"1403","Bonn","Itálica","1"
"1404","Bonn","Huerta de Belén","1"
"1405","Bonn","Casa de Mingaobez","1"
"1406","Bonn","El Pinzón","1"
"1407","Caerleon","La Catria","4"
"1408","Caerleon","Arva","6"
"1409","Caerleon","Alcolea del Río","6"
"1410","Caerleon","El Tejarillo","2"
"1411","Caerleon","Las Delicias","1"
"1412","Caerleon","Tostoneras","1"
"1413","Caerleon","Azanaque-Castillejo","1"
"1414","Caerleon","Peñaflor","1"
"1415","Caerleon","Villar de Brenes","2"
"1416","Caerleon","Malpica Sur","1"
"1417","Caerleon","Castillo de Azanaque","1"
"1418","Caerleon","Haza del Olivo","1"
"1419","Caerleon","El Pinzón","1"
"1420","Caerleon","Cerro de Arriza","1"
"1421","Salé (Sala)","La Catria","3"
"1422","Salé (Sala)","Arva","5"
"1423","Salé (Sala)","Alcolea del Río","1"
"1424","Salé (Sala)","Las Delicias","1"
"1425","Salé (Sala)","Azanaque-Castillejo","1"
"1426","Salé (Sala)","Villar de Brenes","5"
"1427","Salé (Sala)","Barranco del Picacho","2"
"1428","Salé (Sala)","Sevilla","5"
"1429","Salé (Sala)","Guadajoz","1"
"1430","Salé (Sala)","Dehesilla","1"
"1431","Salé (Sala)","Huerta de Belén","1"
"1432","Salé (Sala)","Haza del Olivo","1"
"1433","Salé (Sala)","Cortijo del Romero","1"
"1434","Salé (Sala)","El Marchante","1"
"1435","Silchester","La Catria","8"
"1436","Silchester","Arva","3"
"1437","Silchester","Alcolea del Río","4"
"1438","Silchester","El Tejarillo","3"
"1439","Silchester","Las Delicias","5"
"1440","Silchester","Tostoneras","1"
"1441","Silchester","huerta del río","1"
"1442","Silchester","Alcotrista","1"
"1443","Silchester","Las Sesenta","1"
"1444","Silchester","Malpica Sur","1"
"1445","Silchester","Mejía","1"
"1446","Windisch","La Catria","7"
"1447","Windisch","Arva","1"
"1448","Windisch","Malpica","1"
"1449","Windisch","Azanaque-Castillejo","1"
"1450","Windisch","Peñaflor","1"
"1451","Windisch","La Corregidora","1"
"1452","Windisch","Sevilla","3"
"1453","Windisch","huerta del río","1"
"1454","Windisch","Las Sesenta","1"
"1455","Windisch","Los Guerras","2"
"1456","Windisch","Haza del Olivo","1"
"1457","Windisch","Dehesa de Arriba","2"
"1458","Windisch","La María","1"
"1459","Windisch","Tarancón","2"
"1460","Windisch","Las Valbuenas","1"
"1461","Windisch","Casa de Mingaobez","1"
"1462","Windisch","El Mohino","1"
"1463","Windisch","Madre Vieja II","1"
"1464","St. Albans","La Catria","3"
"1465","St. Albans","Arva","4"
"1466","St. Albans","Alcolea del Río","2"
"1467","St. Albans","Las Delicias","3"
"1468","St. Albans","Peñaflor","2"
"1469","St. Albans","Sevilla","1"
"1470","St. Albans","Itálica","2"
"1471","St. Albans","Huerta de Belén","1"
"1472","St. Albans","Las Sesenta","1"
"1473","St. Albans","Villar Tesoro","1"
"1474","St. Albans","El Judío","1"
"1475","St. Albans","La María","3"
"1476","St. Albans","Tarancón","1"
"1477","St. Albans","Doña Mencía","1"
"1478","St. Albans","El Marchante","1"
"1479","St. Albans","Berro II","2"
"1480","St. Albans","Manuel Nieto","1"
"1481","Voorburg","Arva","5"
"1482","Voorburg","Alcolea del Río","3"
"1483","Voorburg","El Tejarillo","2"
"1484","Voorburg","Las Delicias","2"
"1485","Voorburg","Tostoneras","2"
"1486","Voorburg","Malpica","2"
"1487","Voorburg","Azanaque-Castillejo","2"
"1488","Voorburg","Villar de Brenes","2"
"1489","Voorburg","huerta del río","1"
"1490","Voorburg","Itálica","1"
"1491","Voorburg","Guadajoz","1"
"1492","Voorburg","Isla del Castillo","2"
"1493","Voorburg","Las Ánimas","2"
"1494","Voorburg","El Judío","1"
"1495","Voorburg","Las Monjas","2"
"1496","Abernethy","La Catria","1"
"1497","Abernethy","Arva","5"
"1498","Abernethy","Alcolea del Río","5"
"1499","Abernethy","El Tejarillo","5"
"1500","Abernethy","Las Delicias","8"
"1501","Abernethy","Tostoneras","5"
"1502","Abernethy","Alcotrista","2"
"1503","Genève","La Catria","9"
"1504","Genève","Alcolea del Río","2"
"1505","Genève","Las Delicias","1"
"1506","Genève","Peñaflor","5"
"1507","Genève","Sevilla","3"
"1508","Genève","huerta del río","1"
"1509","Genève","Las Sesenta","2"
"1510","Genève","Haza del Olivo","1"
"1511","Genève","La María","1"
"1512","Genève","Cortijo del Romero","1"
"1513","Genève","Berro II","1"
"1514","Genève","La Mallena","1"
"1515","Genève","El Mohino","1"
"1516","Genève","La Rambla y El Acebuchal","1"
"1517","Genève","Casa del Guarda o Llano","1"
"1518","Groß-Gerau","La Catria","3"
"1519","Groß-Gerau","Arva","3"
"1520","Groß-Gerau","Alcolea del Río","4"
"1521","Groß-Gerau","El Tejarillo","1"
"1522","Groß-Gerau","Las Delicias","1"
"1523","Groß-Gerau","Tostoneras","1"
"1524","Groß-Gerau","Cerro de los Pesebres","2"
"1525","Groß-Gerau","Villar de Brenes","1"
"1526","Groß-Gerau","Sevilla","2"
"1527","Groß-Gerau","huerta del río","1"
"1528","Groß-Gerau","Itálica","1"
"1529","Groß-Gerau","Huerta de Belén","1"
"1530","Groß-Gerau","Alcotrista","1"
"1531","Groß-Gerau","Las Sesenta","2"
"1532","Groß-Gerau","Villar Tesoro","1"
"1533","Groß-Gerau","Malpica Sur","1"
"1534","Groß-Gerau","El Temple","1"
"1535","Groß-Gerau","La Graja","1"
"1536","Groß-Gerau","Casa de Mingaobez","1"
"1537","Groß-Gerau","Manuel Nieto","1"
"1538","Groß-Gerau","La Estacada","1"
"1539","Worms","La Catria","3"
"1540","Worms","Arva","2"
"1541","Worms","Alcolea del Río","2"
"1542","Worms","Malpica","1"
"1543","Worms","Villar de Brenes","2"
"1544","Worms","Guadajoz","3"
"1545","Worms","Huerta de Belén","1"
"1546","Worms","Alcotrista","1"
"1547","Worms","Las Sesenta","2"
"1548","Worms","Villar Tesoro","1"
"1549","Worms","Castillo de Azanaque","1"
"1550","Worms","Isla del Castillo","1"
"1551","Worms","Mejía","1"
"1552","Worms","El Sotillo","2"
"1553","Worms","Las Ánimas","1"
"1554","Worms","El Judío","1"
"1555","Worms","La María","2"
"1556","Worms","Doña Mencía","1"
"1557","Worms","Berro II","2"
"1558","Worms","La Mallena","1"
"1559","Almodóvar del Río","Barranco del Picacho","1"
"1560","Almodóvar del Río","Dehesilla","1"
"1561","Almodóvar del Río","Huerta de Belén","1"
"1562","Almodóvar del Río","El Sotillo","11"
"1563","Almodóvar del Río","El Temple","4"
"1564","Almodóvar del Río","Villaseca","1"
"1565","Almodóvar del Río","Cortijo Nuevo","2"
"1566","Almodóvar del Río","Guadiato","11"
"1567","Nuits-Saint-Georges","La Catria","7"
"1568","Nuits-Saint-Georges","Alcolea del Río","2"
"1569","Nuits-Saint-Georges","Las Delicias","2"
"1570","Nuits-Saint-Georges","Cerro de los Pesebres","2"
"1571","Nuits-Saint-Georges","Malpica","3"
"1572","Nuits-Saint-Georges","Peñaflor","2"
"1573","Nuits-Saint-Georges","La Corregidora","1"
"1574","Nuits-Saint-Georges","Sevilla","3"
"1575","Nuits-Saint-Georges","huerta del río","1"
"1576","Nuits-Saint-Georges","Itálica","3"
"1577","Nuits-Saint-Georges","Huerta de Belén","1"
"1578","Nuits-Saint-Georges","Las Sesenta","1"
"1579","Nuits-Saint-Georges","Malpica Sur","1"
"1580","Nuits-Saint-Georges","Haza del Olivo","1"
"1581","Nuits-Saint-Georges","Dehesa de Arriba","1"
"1582","Nuits-Saint-Georges","Los Villares","1"
"1583","Nuits-Saint-Georges","La Graja","1"
"1584","Nuits-Saint-Georges","Doña Mencía","1"
"1585","Nuits-Saint-Georges","La Mallena","1"
"1586","Nuits-Saint-Georges","El Pinzón","1"
"1587","Nuits-Saint-Georges","La Estacada","1"
"1588","Narbonne","La Catria","10"
"1589","Narbonne","Arva","4"
"1590","Narbonne","Alcolea del Río","6"
"1591","Narbonne","Malpica","3"
"1592","Narbonne","Peñaflor","2"
"1593","Narbonne","Villar de Brenes","1"
"1594","Narbonne","Sevilla","3"
"1595","Narbonne","huerta del río","1"
"1596","Narbonne","Guadajoz","1"
"1597","Narbonne","Las Sesenta","1"
"1598","Narbonne","Villar Tesoro","1"
"1599","Narbonne","Mejía","1"
"1600","Narbonne","El Temple","1"
"1601","Narbonne","Juan Barba","1"
"1602","Narbonne","Adelfa","1"
"1603","Narbonne","Lora la Vieja","1"
"1604","Strasbourg","La Catria","6"
"1605","Strasbourg","Arva","3"
"1606","Strasbourg","Alcolea del Río","3"
"1607","Strasbourg","El Tejarillo","1"
"1608","Strasbourg","Las Delicias","3"
"1609","Strasbourg","Cerro de los Pesebres","2"
"1610","Strasbourg","Malpica","1"
"1611","Strasbourg","Azanaque-Castillejo","2"
"1612","Strasbourg","Peñaflor","3"
"1613","Strasbourg","Dehesilla","1"
"1614","Strasbourg","Alcotrista","1"
"1615","Strasbourg","Las Sesenta","2"
"1616","Strasbourg","Villar Tesoro","1"
"1617","Strasbourg","Malpica Sur","1"
"1618","Strasbourg","Mejía","1"
"1619","Strasbourg","La María","1"
"1620","Strasbourg","Álamo Alto","2"
"1621","Strasbourg","Doña Mencía","2"
"1622","Strasbourg","Casa de Mingaobez","2"
"1623","Strasbourg","Madueño","1"
"1624","Kastell Marienfels","La Catria","7"
"1625","Kastell Marienfels","Arva","5"
"1626","Kastell Marienfels","Alcolea del Río","3"
"1627","Kastell Marienfels","Cerro de los Pesebres","1"
"1628","Kastell Marienfels","Malpica","1"
"1629","Kastell Marienfels","Peñaflor","1"
"1630","Kastell Marienfels","Villar de Brenes","2"
"1631","Kastell Marienfels","Sevilla","2"
"1632","Kastell Marienfels","huerta del río","1"
"1633","Kastell Marienfels","Las Sesenta","5"
"1634","Kastell Marienfels","Villar Tesoro","1"
"1635","Kastell Marienfels","El Temple","1"
"1636","Kastell Marienfels","El Judío","1"
"1637","Kastell Marienfels","Haza del Olivo","1"
"1638","Kastell Marienfels","Álamo Alto","2"
"1639","Kastell Marienfels","La Umbría de Moratalla","1"
"1640","Kastell Marienfels","Casa del Encinarejo Bajo","1"
"1641","Kastell Marienfels","Casa de Mingaobez (Este)","1"
"1642","Kastell Marienfels","Casa de Mingaobez","1"
"1643","Kastell Marienfels","El Marchante","2"
"1644","Kastell Marienfels","Tierras del Judío","1"
"1645","Nida-Heddernheim","La Catria","9"
"1646","Nida-Heddernheim","Arva","6"
"1647","Nida-Heddernheim","Alcolea del Río","7"
"1648","Nida-Heddernheim","El Tejarillo","2"
"1649","Nida-Heddernheim","Azanaque-Castillejo","1"
"1650","Nida-Heddernheim","Villar de Brenes","2"
"1651","Nida-Heddernheim","Barranco del Picacho","1"
"1652","Nida-Heddernheim","Sevilla","2"
"1653","Nida-Heddernheim","huerta del río","1"
"1654","Nida-Heddernheim","Itálica","1"
"1655","Nida-Heddernheim","Alcotrista","1"
"1656","Nida-Heddernheim","Las Sesenta","2"
"1657","Nida-Heddernheim","Castillo de Azanaque","1"
"1658","Nida-Heddernheim","Las Ánimas","1"
"1659","Nida-Heddernheim","El Temple","1"
"1660","Nida-Heddernheim","Los Villares","1"
"1661","Nida-Heddernheim","Tierras del Judío","1"
"1662","Nida-Heddernheim","Azanaque-Catsillejo","1"
"1663","Wroxeter","La Catria","6"
"1664","Wroxeter","Arva","2"
"1665","Wroxeter","Alcolea del Río","3"
"1666","Wroxeter","El Tejarillo","1"
"1667","Wroxeter","Las Delicias","2"
"1668","Wroxeter","Malpica","5"
"1669","Wroxeter","Azanaque-Castillejo","2"
"1670","Wroxeter","Peñaflor","3"
"1671","Wroxeter","Barranco del Picacho","1"
"1672","Wroxeter","Sevilla","1"
"1673","Wroxeter","huerta del río","1"
"1674","Wroxeter","Itálica","3"
"1675","Wroxeter","Dehesilla","1"
"1676","Wroxeter","La Estrella","1"
"1677","Wroxeter","Las Sesenta","3"
"1678","Wroxeter","Castillo de Azanaque","1"
"1679","Wroxeter","Isla del Castillo","1"
"1680","Wroxeter","Las Ánimas","1"
"1681","Wroxeter","El Temple","1"
"1682","Wroxeter","La Graja","1"
"1683","Wroxeter","La Rambla y El Acebuchal","1"
"1684","Cirencester","La Catria","7"
"1685","Cirencester","Arva","6"
"1686","Cirencester","Alcolea del Río","4"
"1687","Cirencester","El Tejarillo","2"
"1688","Cirencester","Las Delicias","3"
"1689","Cirencester","Tostoneras","1"
"1690","Cirencester","Cerro de los Pesebres","1"
"1691","Cirencester","Malpica","1"
"1692","Cirencester","Peñaflor","2"
"1693","Cirencester","Villar de Brenes","1"
"1694","Cirencester","La Corregidora","1"
"1695","Cirencester","Barranco del Picacho","1"
"1696","Cirencester","Sevilla","1"
"1697","Cirencester","huerta del río","1"
"1698","Cirencester","Itálica","1"
"1699","Cirencester","Huerta de Belén","3"
"1700","Cirencester","Malpica Sur","1"
"1701","Cirencester","El Judío","1"
"1702","Cirencester","El Marchante","1"
"1703","Cirencester","La Mallena","1"
"1704","Cirencester","La Ramblilla","1"
"1705","Cirencester","La Rambla y El Acebuchal","1"
"1706","Amiens","La Catria","6"
"1707","Amiens","Arva","3"
"1708","Amiens","Alcolea del Río","4"
"1709","Amiens","El Tejarillo","2"
"1710","Amiens","Las Delicias","5"
"1711","Amiens","Tostoneras","3"
"1712","Amiens","Cerro de los Pesebres","1"
"1713","Amiens","Azanaque-Castillejo","1"
"1714","Amiens","Peñaflor","1"
"1715","Amiens","Villar de Brenes","1"
"1716","Amiens","Sevilla","1"
"1717","Amiens","huerta del río","1"
"1718","Amiens","Itálica","1"
"1719","Amiens","Huerta de Belén","1"
"1720","Amiens","Villar Tesoro","1"
"1721","Amiens","Malpica Sur","1"
"1722","Amiens","Castillo de Azanaque","1"
"1723","Amiens","Isla del Castillo","1"
"1724","Amiens","Mejía","1"
"1725","Amiens","Las Ánimas","1"
"1726","Amiens","El Judío","3"
"1727","Amiens","La Mallena","1"
"1728","Amiens","Tierras del Judío","1"
"1729","Amiens","El Mohino","1"
"1730","Alexandria","La Catria","10"
"1731","Alexandria","Arva","1"
"1732","Alexandria","Alcolea del Río","3"
"1733","Alexandria","El Tejarillo","2"
"1734","Alexandria","Las Delicias","2"
"1735","Alexandria","Cerro de los Pesebres","1"
"1736","Alexandria","Malpica","1"
"1737","Alexandria","Azanaque-Castillejo","1"
"1738","Alexandria","Peñaflor","1"
"1739","Alexandria","Villar de Brenes","1"
"1740","Alexandria","La Corregidora","1"
"1741","Alexandria","Barranco del Picacho","1"
"1742","Alexandria","Sevilla","2"
"1743","Alexandria","huerta del río","1"
"1744","Alexandria","Guadajoz","1"
"1745","Alexandria","Dehesilla","1"
"1746","Alexandria","Huerta de Belén","1"
"1747","Alexandria","Las Sesenta","1"
"1748","Alexandria","Villar Tesoro","1"
"1749","Alexandria","Malpica Sur","1"
"1750","Alexandria","Castillo de Azanaque","1"
"1751","Alexandria","Mejía","1"
"1752","Alexandria","El Rodriguillo","1"
"1753","Alexandria","El Judío","1"
"1754","Alexandria","Villaseca","1"
"1755","Alexandria","Juan Barba","1"
"1756","Alexandria","La Graja","1"
"1757","Alexandria","El Marchante","1"
"1758","Alexandria","Cruz Verde","2"
"1759","Ampurias","La Catria","4"
"1760","Ampurias","Arva","6"
"1761","Ampurias","Alcolea del Río","3"
"1762","Ampurias","El Tejarillo","4"
"1763","Ampurias","Tostoneras","1"
"1764","Ampurias","Azanaque-Castillejo","2"
"1765","Ampurias","Sevilla","1"
"1766","Ampurias","huerta del río","2"
"1767","Ampurias","Itálica","2"
"1768","Ampurias","Guadajoz","2"
"1769","Ampurias","Huerta de Belén","1"
"1770","Ampurias","Alcotrista","2"
"1771","Ampurias","Las Sesenta","1"
"1772","Ampurias","Isla del Castillo","1"
"1773","Ampurias","Las Ánimas","1"
"1774","Ampurias","El Judío","1"
"1775","Ampurias","Villaseca","1"
"1776","Ampurias","Dehesa de Arriba","2"
"1777","Ampurias","Juan Barba","1"
"1778","Ampurias","La Graja","1"
"1779","Ampurias","Doña Mencía","1"
"1780","Ampurias","Adelfa","1"
"1781","Ampurias","Lora la Vieja","1"
"1782","Ampurias","Tierras del Judío","1"
"1783","Ampurias","El Mohino","1"
"1784","Ampurias","La Estacada","1"
"1785","Ampurias","La Botica","1"
"1786","York","La Catria","5"
"1787","York","Arva","9"
"1788","York","Alcolea del Río","3"
"1789","York","El Tejarillo","3"
"1790","York","Las Delicias","2"
"1791","York","Tostoneras","3"
"1792","York","Malpica","1"
"1793","York","Villar de Brenes","1"
"1794","York","La Corregidora","1"
"1795","York","huerta del río","4"
"1796","York","Itálica","4"
"1797","York","Huerta de Belén","3"
"1798","York","Alcotrista","2"
"1799","York","Las Sesenta","2"
"1800","York","Malpica Sur","1"
"1801","York","Tarancón","1"
"1802","York","El Marchante","1"
"1803","Volubilis","La Catria","5"
"1804","Volubilis","Arva","9"
"1805","Volubilis","Alcolea del Río","3"
"1806","Volubilis","El Tejarillo","2"
"1807","Volubilis","Tostoneras","1"
"1808","Volubilis","Azanaque-Castillejo","3"
"1809","Volubilis","Villar de Brenes","12"
"1810","Volubilis","Sevilla","2"
"1811","Volubilis","huerta del río","3"
"1812","Volubilis","Itálica","3"
"1813","Volubilis","Dehesilla","1"
"1814","Volubilis","Huerta de Belén","1"
"1815","Volubilis","Las Valbuenas","1"
"1816","Volubilis","La Mallena","1"
"1817","Volubilis","El Mohino","1"
"1818","Volubilis","La Rambla y El Acebuchal","1"
"1819","Fréjus","La Catria","8"
"1820","Fréjus","Arva","11"
"1821","Fréjus","Alcolea del Río","3"
"1822","Fréjus","Las Delicias","6"
"1823","Fréjus","Malpica","2"
"1824","Fréjus","Azanaque-Castillejo","2"
"1825","Fréjus","Peñaflor","1"
"1826","Fréjus","Villar de Brenes","1"
"1827","Fréjus","Sevilla","4"
"1828","Fréjus","El Temple","2"
"1829","Fréjus","Dehesa de Arriba","1"
"1830","Fréjus","Juan Barba","1"
"1831","Fréjus","El Marchante","1"
"1832","Fréjus","Berro II","2"
"1833","Fréjus","Lora la Vieja","4"
"1834","Fréjus","Alcala del Río","1"
"1835","Avenches","La Catria","15"
"1836","Avenches","Arva","4"
"1837","Avenches","Alcolea del Río","2"
"1838","Avenches","Cerro de los Pesebres","2"
"1839","Avenches","Malpica","2"
"1840","Avenches","La Corregidora","3"
"1841","Avenches","Sevilla","1"
"1842","Avenches","huerta del río","4"
"1843","Avenches","Itálica","3"
"1844","Avenches","Guadajoz","1"
"1845","Avenches","Alcotrista","1"
"1846","Avenches","Las Sesenta","1"
"1847","Avenches","Villar Tesoro","1"
"1848","Avenches","Castillo de Azanaque","2"
"1849","Avenches","Mejía","1"
"1850","Avenches","El Judío","1"
"1851","Avenches","Tarancón","1"
"1852","Avenches","Casa del Encinarejo Bajo","1"
"1853","Avenches","Casa de Mingaobez","1"
"1854","Avenches","El Marchante","2"
"1855","Avenches","Lora la Vieja","1"
"1856","Avenches","Casa del Guarda o Llano","1"
"1857","Köln","La Catria","5"
"1858","Köln","Arva","4"
"1859","Köln","Alcolea del Río","7"
"1860","Köln","El Tejarillo","2"
"1861","Köln","Las Delicias","5"
"1862","Köln","Tostoneras","1"
"1863","Köln","Cerro de los Pesebres","3"
"1864","Köln","Malpica","3"
"1865","Köln","Azanaque-Castillejo","1"
"1866","Köln","Peñaflor","2"
"1867","Köln","Villar de Brenes","3"
"1868","Köln","Barranco del Picacho","1"
"1869","Köln","Sevilla","2"
"1870","Köln","Itálica","1"
"1871","Köln","Guadajoz","1"
"1872","Köln","Dehesilla","1"
"1873","Köln","Alcotrista","1"
"1874","Köln","Las Sesenta","2"
"1875","Köln","Malpica Sur","2"
"1876","Köln","Castillo de Azanaque","1"
"1877","Köln","Los Guerras","1"
"1878","Köln","El Judío","1"
"1879","Köln","Haza del Olivo","1"
"1880","Köln","Cortijo del Romero","1"
"1881","Köln","Casa del Encinarejo Bajo","1"
"1882","Köln","El Marchante","1"
"1883","Köln","Azanaque-Catsillejo","1"
"1884","Nijmegen","La Catria","16"
"1885","Nijmegen","Arva","3"
"1886","Nijmegen","Alcolea del Río","4"
"1887","Nijmegen","El Tejarillo","1"
"1888","Nijmegen","Las Delicias","1"
"1889","Nijmegen","Cerro de los Pesebres","1"
"1890","Nijmegen","Malpica","2"
"1891","Nijmegen","Azanaque-Castillejo","1"
"1892","Nijmegen","Peñaflor","1"
"1893","Nijmegen","Sevilla","4"
"1894","Nijmegen","huerta del río","1"
"1895","Nijmegen","Itálica","1"
"1896","Nijmegen","Guadajoz","2"
"1897","Nijmegen","Las Sesenta","3"
"1898","Nijmegen","El Temple","1"
"1899","Nijmegen","El Judío","2"
"1900","Nijmegen","Villaseca","1"
"1901","Nijmegen","Dehesa de Arriba","2"
"1902","Nijmegen","Juan Barba","1"
"1903","Nijmegen","La Umbría de Moratalla","1"
"1904","Nijmegen","Casa de Mingaobez (Este)","1"
"1905","Nijmegen","Adelfa","1"
"1906","Nijmegen","Casa de Mingaobez","1"
"1907","Nijmegen","Lora la Vieja","1"
"1908","Nijmegen","La Estacada","1"
"1909","Nijmegen","Casa del Guarda o Llano","1"
"1910","Chester","La Catria","7"
"1911","Chester","Arva","3"
"1912","Chester","Alcolea del Río","7"
"1913","Chester","El Tejarillo","3"
"1914","Chester","Las Delicias","4"
"1915","Chester","Tostoneras","1"
"1916","Chester","Cerro de los Pesebres","3"
"1917","Chester","Malpica","1"
"1918","Chester","huerta del río","2"
"1919","Chester","Itálica","2"
"1920","Chester","Alcotrista","1"
"1921","Chester","Las Sesenta","3"
"1922","Chester","Villar Tesoro","3"
"1923","Chester","Castillo de Azanaque","1"
"1924","Chester","Isla del Castillo","1"
"1925","Chester","Mejía","3"
"1926","Chester","Las Ánimas","1"
"1927","Chester","El Judío","1"
"1928","Chester","Tarancón","1"
"1929","Chester","Juan Barba","1"
"1930","Chester","La Graja","1"
"1931","Chester","Casa de Mingaobez","2"
"1932","Chester","El Marchante","1"
"1933","Chester","Casa del Guarda o Llano","1"
"1934","Chester","Cruz Verde","3"
"1935","Chester","Azanaque-Catsillejo","1"
"1936","Bardon Mill","La Catria","9"
"1937","Bardon Mill","Arva","8"
"1938","Bardon Mill","Alcolea del Río","6"
"1939","Bardon Mill","El Tejarillo","3"
"1940","Bardon Mill","Las Delicias","5"
"1941","Bardon Mill","Tostoneras","3"
"1942","Bardon Mill","Cerro de los Pesebres","2"
"1943","Bardon Mill","Peñaflor","2"
"1944","Bardon Mill","Sevilla","2"
"1945","Bardon Mill","huerta del río","3"
"1946","Bardon Mill","Itálica","2"
"1947","Bardon Mill","Alcotrista","1"
"1948","Bardon Mill","Las Sesenta","3"
"1949","Bardon Mill","Malpica Sur","1"
"1950","Bardon Mill","El Sotillo","1"
"1951","Bardon Mill","Haza del Olivo","1"
"1952","Bardon Mill","Villaseca","1"
"1953","Bardon Mill","Cortijo del Romero","1"
"1954","Bardon Mill","Casa de Mingaobez","1"
"1955","Bardon Mill","El Marchante","4"
"1956","Bardon Mill","Manuel Nieto","1"
"1957","Saint-Romain-en-Gal","La Catria","12"
"1958","Saint-Romain-en-Gal","Arva","4"
"1959","Saint-Romain-en-Gal","Las Delicias","3"
"1960","Saint-Romain-en-Gal","Cerro de los Pesebres","8"
"1961","Saint-Romain-en-Gal","Azanaque-Castillejo","1"
"1962","Saint-Romain-en-Gal","Peñaflor","5"
"1963","Saint-Romain-en-Gal","Sevilla","2"
"1964","Saint-Romain-en-Gal","huerta del río","1"
"1965","Saint-Romain-en-Gal","Huerta de Belén","1"
"1966","Saint-Romain-en-Gal","Los Guerras","1"
"1967","Saint-Romain-en-Gal","El Temple","15"
"1968","Saint-Romain-en-Gal","Haza del Olivo","1"
"1969","Saint-Romain-en-Gal","Dehesa de Arriba","1"
"1970","Saint-Romain-en-Gal","Cortijo del Romero","2"
"1971","Saint-Romain-en-Gal","Casa del Encinarejo Bajo","1"
"1972","Saint-Romain-en-Gal","El Marchante","1"
"1973","Saint-Romain-en-Gal","Berro II","1"
"1974","Saint-Romain-en-Gal","Lora la Vieja","2"
"1975","Saint-Romain-en-Gal","Madre Vieja II","1"
"1976","Banasa","La Catria","6"
"1977","Banasa","Arva","16"
"1978","Banasa","Alcolea del Río","1"
"1979","Banasa","El Tejarillo","2"
"1980","Banasa","Tostoneras","1"
"1981","Banasa","Malpica","2"
"1982","Banasa","Azanaque-Castillejo","5"
"1983","Banasa","Villar de Brenes","5"
"1984","Banasa","Barranco del Picacho","1"
"1985","Banasa","Sevilla","7"
"1986","Banasa","Itálica","1"
"1987","Banasa","Guadajoz","1"
"1988","Banasa","La Estrella","1"
"1989","Banasa","Huerta de Belén","4"
"1990","Banasa","Villar Tesoro","1"
"1991","Banasa","Castillo de Azanaque","1"
"1992","Banasa","Los Guerras","1"
"1993","Banasa","Haza del Olivo","4"
"1994","Banasa","La María","1"
"1995","Banasa","Cortijo del Romero","1"
"1996","Banasa","Los Villares","2"
"1997","Banasa","El Marchante","2"
"1998","Banasa","Berro II","1"
"1999","Banasa","El Mohino","2"
"2000","Carmona","Arva","4"
"2001","Carmona","Alcolea del Río","4"
"2002","Carmona","El Tejarillo","1"
"2003","Carmona","Tostoneras","1"
"2004","Carmona","Guadajoz","18"
"2005","Carmona","Villar Tesoro","6"
"2006","Carmona","Mejía","3"
"2007","Carmona","Juan Barba","18"
"2008","Carmona","Adelfa","18"
"2009","Écija","La Catria","3"
"2010","Écija","Arva","5"
"2011","Écija","Las Delicias","4"
"2012","Écija","Peñaflor","3"
"2013","Écija","Itálica","4"
"2014","Écija","Alcotrista","9"
"2015","Écija","Isla del Castillo","18"
"2016","Écija","Las Ánimas","18"
"2017","Écija","Haza del Olivo","3"
"2018","Écija","Tarancón","8"
"2019","Écija","Las Valbuenas","5"
"2020","Écija","Doña Mencía","3"
"2021","Edinburgh","La Catria","8"
"2022","Edinburgh","Arva","12"
"2023","Edinburgh","Alcolea del Río","12"
"2024","Edinburgh","El Tejarillo","8"
"2025","Edinburgh","Las Delicias","5"
"2026","Edinburgh","Tostoneras","7"
"2027","Edinburgh","Cerro de los Pesebres","3"
"2028","Edinburgh","Malpica","3"
"2029","Edinburgh","Azanaque-Castillejo","2"
"2030","Edinburgh","Peñaflor","1"
"2031","Edinburgh","Villar de Brenes","1"
"2032","Edinburgh","Barranco del Picacho","1"
"2033","Edinburgh","Sevilla","4"
"2034","Edinburgh","huerta del río","2"
"2035","Edinburgh","Itálica","4"
"2036","Edinburgh","Guadajoz","1"
"2037","Edinburgh","Dehesilla","1"
"2038","Edinburgh","La Estrella","1"
"2039","Edinburgh","Alcotrista","1"
"2040","Edinburgh","Las Sesenta","1"
"2041","Edinburgh","Haza del Olivo","1"
"2042","Edinburgh","Dehesa de Arriba","1"
"2043","Edinburgh","La María","2"
"2044","Edinburgh","Tarancón","1"
"2045","Edinburgh","Las Valbuenas","1"
"2046","Edinburgh","El Marchante","1"
"2047","Edinburgh","Berro II","1"
"2048","Edinburgh","La Rambla y El Acebuchal","1"
"2049","Niederbieber","La Catria","9"
