"","fp","pp","w"
"288","Old Kilpatrick","Alcolea del Río","1"
"289","Old Kilpatrick","El Tejarillo","1"
"290","Pîtres","Malpica","1"
"291","Pîtres","Itálica","1"
"292","Pula","Itálica","2"
"293","Remagen","Las Delicias","1"
"294","Remagen","Itálica","1"
"295","Risstissen","Alcolea del Río","1"
"296","Risstissen","La Umbría de Moratalla","1"
"297","Riudoms","La Catria","2"
"298","Saint Paulien","La Catria","1"
"299","Saint Paulien","El Temple","1"
"300","Saint Raphael","Isla del Castillo","1"
"301","Saint Raphael","Las Ánimas","1"
"302","Sallèles","Malpica","1"
"303","Sallèles","El Temple","1"
"304","Sea Mills","Las Delicias","1"
"305","Sea Mills","huerta del río","1"
"306","Servian","Malpica","1"
"307","Servian","El Sotillo","1"
"308","Stolberg","Las Delicias","1"
"309","Stolberg","huerta del río","1"
"310","Stuttgart","El Judío","1"
"311","Stuttgart","Las Valbuenas","1"
"312","Sulz am Neckar","Azanaque-Castillejo","1"
"313","Sulz am Neckar","Casa del Encinarejo Bajo","1"
"314","Tayside","La Catria","1"
"315","Tayside","La Graja","1"
"316","Toulon","Dehesilla","1"
"317","Toulon","La Estrella","1"
"318","Ubbergen","La Catria","1"
"319","Ubbergen","Las Sesenta","1"
"320","Unterkirchberg","Alcolea del Río","1"
"321","Unterkirchberg","Sevilla","1"
"322","Verneuil-en-Halatte","La Catria","1"
"323","Verneuil-en-Halatte","La Graja","1"
"324","Villajoyosa","Guadajoz","2"
"325","Villeneuve-lès-Béziers","Arva","1"
"326","Villeneuve-lès-Béziers","Huerta de Belén","1"
"327","Weißenthurm","Alcotrista","1"
"328","Weißenthurm","La Reina","1"
"329","Wien","La Catria","1"
"330","Wien","Itálica","1"
"331","Wijk bij Duurstede","El Mohino","2"
"332","Worcester","Arva","1"
"333","Worcester","Huerta de Belén","1"
"334","Agde","La Catria","1"
"335","Agde","Peñaflor","1"
"336","Agde","Itálica","1"
"337","Athens","Arva","2"
"338","Athens","La Mallena","1"
"339","Bad Kreuznach","Arva","1"
"340","Bad Kreuznach","Las Delicias","1"
"341","Bad Kreuznach","Las Monjas","1"
"342","Bearsden","La Catria","1"
"343","Bearsden","Alcolea del Río","2"
"344","Beauvais","La Catria","1"
"345","Beauvais","Sevilla","1"
"346","Beauvais","El Sotillo","1"
"347","Bingen","Las Delicias","2"
"348","Bingen","Malpica Sur","1"
"349","Birrens","La Catria","1"
"350","Birrens","Alcolea del Río","1"
"351","Birrens","Cerro de los Pesebres","1"
"352","Bishop Auckland","Itálica","1"
"353","Bishop Auckland","Isla del Castillo","1"
"354","Bishop Auckland","Las Ánimas","1"
"355","Bourbon-Lancy","La Catria","1"
"356","Bourbon-Lancy","Cerro de los Pesebres","1"
"357","Bourbon-Lancy","Malpica","1"
"358","Bourges","Azanaque-Castillejo","1"
"359","Bourges","Castillo de Azanaque","1"
"360","Bourges","El Mohino","1"
"361","Butzbach","Malpica","1"
"362","Butzbach","Peñaflor","1"
"363","Butzbach","El Judío","1"
"364","Caudebec-lès-Elbeuf","Arva","1"
"365","Caudebec-lès-Elbeuf","Las Delicias","1"
"366","Caudebec-lès-Elbeuf","El Judío","1"
"367","Denia","Alcolea del Río","1"
"368","Denia","Las Delicias","1"
"369","Denia","Sevilla","1"
"370","Doncaster","Alcolea del Río","1"
"371","Doncaster","Villar Tesoro","1"
"372","Doncaster","Mejía","1"
"373","Fishbourne","La Catria","2"
"374","Fishbourne","Huerta de Belén","1"
"375","Formentera","Guadajoz","1"
"376","Formentera","Cortijo de Paladés (Este) (Cortijo de Sotomayor)","1"
"377","Formentera","Cortijo de San José (Norte)","1"
"378","Gaujac","La Catria","1"
"379","Gaujac","Peñaflor","1"
"380","Gaujac","Sevilla","1"
"381","Hochtaunuskreis","Arva","1"
"382","Hochtaunuskreis","El Tejarillo","1"
"383","Hochtaunuskreis","Las Monjas","1"
"384","Lengnau","La Catria","1"
"385","Lengnau","Arva","2"
"386","Lisboa","La Catria","2"
"387","Lisboa","Los Villares","1"
"388","Lixus","Arva","2"
"389","Lixus","huerta del río","1"
"390","Manchester","Alcolea del Río","1"
"391","Manchester","Villar Tesoro","1"
"392","Manchester","Mejía","1"
"393","Minorca","Alcolea del Río","1"
"394","Minorca","Itálica","2"
"395","Rabat","Guadajoz","1"
"396","Rabat","Villar Tesoro","1"
"397","Rabat","Los Villares","1"
"398","Rezé","Guadajoz","1"
"399","Rezé","Juan Barba","1"
"400","Rezé","Adelfa","1"
"401","Roanne","La Catria","1"
"402","Roanne","Álamo Alto","1"
"403","Roanne","Los Mochales","1"
"404","Rommerskirchen","Las Delicias","1"
"405","Rommerskirchen","Azanaque-Castillejo","1"
"406","Rommerskirchen","Itálica","1"
"407","Sardegna","Sevilla","1"
"408","Sardegna","Las Sesenta","1"
"409","Sardegna","Los Guerras","1"
"410","Sens","Malpica","1"
"411","Sens","Álamo Alto","1"
"412","Sens","Los Mochales","1"
"413","Sète","La Catria","1"
"414","Sète","Las Delicias","1"
"415","Sète","Itálica","1"
"416","Sidi Ali Ben Ahmed","La Catria","1"
"417","Sidi Ali Ben Ahmed","Peñaflor","1"
"418","Sidi Ali Ben Ahmed","Madueño","1"
"419","Sleaford","La Catria","1"
"420","Sleaford","Peñaflor","1"
"421","Sleaford","La Corregidora","1"
"422","Straubing","Alcolea del Río","2"
"423","Straubing","Sevilla","1"
"424","Tanger (Tingi)","La Catria","2"
"425","Tanger (Tingi)","Dehesa de Arriba","1"
"426","Weissenburg in Bayern","Malpica","1"
"427","Weissenburg in Bayern","Peñaflor","1"
"428","Weissenburg in Bayern","Villaseca","1"
"429","Alphen aan den Rijn","Cerro de los Pesebres","1"
"430","Alphen aan den Rijn","Peñaflor","1"
"431","Alphen aan den Rijn","Villar de Brenes","1"
"432","Alphen aan den Rijn","Malpica Sur","1"
"433","Bad Ems","Arva","1"
"434","Bad Ems","Alcolea del Río","2"
"435","Bad Ems","huerta del río","1"
"436","Bordeaux","Guadajoz","1"
"437","Bordeaux","La María","1"
"438","Bordeaux","Juan Barba","1"
"439","Bordeaux","Adelfa","1"
"440","Brecon","La Catria","1"
"441","Brecon","Arva","1"
"442","Brecon","huerta del río","2"
"443","Chartres","Alcolea del Río","1"
"444","Chartres","Las Delicias","1"
"445","Chartres","Las Sesenta","1"
"446","Chartres","Casa de Mingaobez","1"
"447","Chesterford","Arva","2"
"448","Chesterford","Las Delicias","2"
"449","Fourvière","La Catria","1"
"450","Fourvière","Arva","1"
"451","Fourvière","Azanaque-Castillejo","1"
"452","Fourvière","Casa de Mingaobez","1"
"453","Hainstadt","Arva","1"
"454","Hainstadt","Alcolea del Río","1"
"455","Hainstadt","El Tejarillo","1"
"456","Hainstadt","Tostoneras","1"
"457","Hanau","La Catria","1"
"458","Hanau","Alcolea del Río","1"
"459","Hanau","huerta del río","1"
"460","Hanau","Las Sesenta","1"
